competencia,fator,arquivo_origem
2002-04-01,3.358005,01_2021_art_33_normal_gab-1.xlsx
2002-05-01,3.334662,01_2021_art_33_normal_gab-1.xlsx
2002-06-01,3.298054,01_2021_art_33_normal_gab-1.xlsx
2002-07-01,3.241644,01_2021_art_33_normal_gab-1.xlsx
2002-08-01,3.176531,01_2021_art_33_normal_gab-1.xlsx
2002-09-01,3.103292,01_2021_art_33_normal_gab-1.xlsx
2002-10-01,3.023475,01_2021_art_33_normal_gab-1.xlsx
2002-11-01,2.901326,01_2021_art_33_normal_gab-1.xlsx
2002-12-01,2.741236,01_2021_art_33_normal_gab-1.xlsx
2003-01-01,2.669168,01_2021_art_33_normal_gab-1.xlsx
2003-02-01,2.612476,01_2021_art_33_normal_gab-1.xlsx
2003-03-01,2.571592,01_2021_art_33_normal_gab-1.xlsx
2003-04-01,2.529601,01_2021_art_33_normal_gab-1.xlsx
2003-05-01,2.51927,01_2021_art_33_normal_gab-1.xlsx
2003-06-01,2.536262,01_2021_art_33_normal_gab-1.xlsx
2003-07-01,2.554142,01_2021_art_33_normal_gab-1.xlsx
2003-08-01,2.559263,01_2021_art_33_normal_gab-1.xlsx
2003-09-01,2.543489,01_2021_art_33_normal_gab-1.xlsx
2003-10-01,2.517062,01_2021_art_33_normal_gab-1.xlsx
2003-11-01,2.506035,01_2021_art_33_normal_gab-1.xlsx
2003-12-01,2.494064,01_2021_art_33_normal_gab-1.xlsx
2004-01-01,2.47919,01_2021_art_33_normal_gab-1.xlsx
2004-02-01,2.459512,01_2021_art_33_normal_gab-1.xlsx
2004-03-01,2.449958,01_2021_art_33_normal_gab-1.xlsx
2004-04-01,2.436075,01_2021_art_33_normal_gab-1.xlsx
2004-05-01,2.426126,01_2021_art_33_normal_gab-1.xlsx
2004-06-01,2.416457,01_2021_art_33_normal_gab-1.xlsx
2004-07-01,2.404443,01_2021_art_33_normal_gab-1.xlsx
2004-08-01,2.387012,01_2021_art_33_normal_gab-1.xlsx
2004-09-01,2.375135,01_2021_art_33_normal_gab-1.xlsx
2004-10-01,2.371107,01_2021_art_33_normal_gab-1.xlsx
2004-11-01,2.367086,01_2021_art_33_normal_gab-1.xlsx
2004-12-01,2.356713,01_2021_art_33_normal_gab-1.xlsx
2005-01-01,2.336617,01_2021_art_33_normal_gab-1.xlsx
2005-02-01,2.323375,01_2021_art_33_normal_gab-1.xlsx
2005-03-01,2.313196,01_2021_art_33_normal_gab-1.xlsx
2005-04-01,2.29643,01_2021_art_33_normal_gab-1.xlsx
2005-05-01,2.275723,01_2021_art_33_normal_gab-1.xlsx
2005-06-01,2.259903,01_2021_art_33_normal_gab-1.xlsx
2005-07-01,2.262391,01_2021_art_33_normal_gab-1.xlsx
2005-08-01,2.261712,01_2021_art_33_normal_gab-1.xlsx
2005-09-01,2.261712,01_2021_art_33_normal_gab-1.xlsx
2005-10-01,2.258326,01_2021_art_33_normal_gab-1.xlsx
2005-11-01,2.245307,01_2021_art_33_normal_gab-1.xlsx
2005-12-01,2.233241,01_2021_art_33_normal_gab-1.xlsx
2006-01-01,2.224348,01_2021_art_33_normal_gab-1.xlsx
2006-02-01,2.215926,01_2021_art_33_normal_gab-1.xlsx
2006-03-01,2.210843,01_2021_art_33_normal_gab-1.xlsx
2006-04-01,2.204888,01_2021_art_33_normal_gab-1.xlsx
2006-05-01,2.202247,01_2021_art_33_normal_gab-1.xlsx
2006-06-01,2.199389,01_2021_art_33_normal_gab-1.xlsx
2006-07-01,2.200924,01_2021_art_33_normal_gab-1.xlsx
2006-08-01,2.198508,01_2021_art_33_normal_gab-1.xlsx
2006-09-01,2.198945,01_2021_art_33_normal_gab-1.xlsx
2006-10-01,2.195436,01_2021_art_33_normal_gab-1.xlsx
2006-11-01,2.186035,01_2021_art_33_normal_gab-1.xlsx
2006-12-01,2.17689,01_2021_art_33_normal_gab-1.xlsx
2007-01-01,2.163477,01_2021_art_33_normal_gab-1.xlsx
2007-02-01,2.152931,01_2021_art_33_normal_gab-1.xlsx
2007-03-01,2.143925,01_2021_art_33_normal_gab-1.xlsx
2007-04-01,2.134531,01_2021_art_33_normal_gab-1.xlsx
2007-05-01,2.128999,01_2021_art_33_normal_gab-1.xlsx
2007-06-01,2.123476,01_2021_art_33_normal_gab-1.xlsx
2007-07-01,2.116916,01_2021_art_33_normal_gab-1.xlsx
2007-08-01,2.110162,01_2021_art_33_normal_gab-1.xlsx
2007-09-01,2.097782,01_2021_art_33_normal_gab-1.xlsx
2007-10-01,2.092555,01_2021_art_33_normal_gab-1.xlsx
2007-11-01,2.086298,01_2021_art_33_normal_gab-1.xlsx
2007-12-01,2.077362,01_2021_art_33_normal_gab-1.xlsx
2008-01-01,2.057404,01_2021_art_33_normal_gab-1.xlsx
2008-02-01,2.043306,01_2021_art_33_normal_gab-1.xlsx
2008-03-01,2.032938,01_2021_art_33_normal_gab-1.xlsx
2008-04-01,2.022621,01_2021_art_33_normal_gab-1.xlsx
2008-05-01,2.009759,01_2021_art_33_normal_gab-1.xlsx
2008-06-01,1.990652,01_2021_art_33_normal_gab-1.xlsx
2008-07-01,1.972701,01_2021_art_33_normal_gab-1.xlsx
2008-08-01,1.961323,01_2021_art_33_normal_gab-1.xlsx
2008-09-01,1.957211,01_2021_art_33_normal_gab-1.xlsx
2008-10-01,1.95428,01_2021_art_33_normal_gab-1.xlsx
2008-11-01,1.944559,01_2021_art_33_normal_gab-1.xlsx
2008-12-01,1.937197,01_2021_art_33_normal_gab-1.xlsx
2009-01-01,1.931599,01_2021_art_33_normal_gab-1.xlsx
2009-02-01,1.919314,01_2021_art_33_normal_gab-1.xlsx
